🕘️更新时间,#genre#
2024-12-27 16:14:16,http://116.1.184.67:8181/tsfile/live/0001_1.m3u8$订阅源-1920x1080

📺央视频道,#genre#
CCTV-1,http://116.1.184.67:8181/tsfile/live/0001_1.m3u8$订阅源-1920x1080
CCTV-1,http://219.159.194.213:8181/tsfile/live/0001_1.m3u8$订阅源-1920x1080
CCTV-1,http://223.166.234.149:7777/tsfile/live/0001_1.m3u8$订阅源-1920x1080
CCTV-1,http://219.159.194.252:8181/tsfile/live/0001_1.m3u8$订阅源-1920x1080
CCTV-1,http://119.125.134.176:9901/tsfile/live/0001_1.m3u8$订阅源-1920x1080
CCTV-1,http://[2409:8087:74d9:21::4]/270000001128/index.m3u8?cmcc_cid=9900000001$订阅源-IPv6-1920x1080
CCTV-1,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/yinhe/88888888/224/3221226559/index.m3u8$订阅源-IPv6-1920x1080
CCTV-1,http://[2409:8087:5e00:24::1e]:6060/000000001000/5000000004000002226/$订阅源-IPv6-1920x1080
CCTV-1,http://[2409:8087:2001:20:2800:0:df6e:eb26]/ott.mobaibox.com/PLTV/1/224/3221228213/index.m3u8$订阅源-IPv6-1920x1080
CCTV-1,http://[2409:8087:5e01:34::22]:6610/ZTE_CMS/00000001000000060000000000000131/index.m3u8?IAS$订阅源-IPv6-1920x1080
CCTV-2,http://116.1.184.67:8181/tsfile/live/0002_1.m3u8$订阅源-1920x1080
CCTV-2,http://219.159.194.213:8181/tsfile/live/0002_1.m3u8$订阅源-1920x1080
CCTV-2,http://223.166.234.149:7777/tsfile/live/0002_1.m3u8$订阅源-1920x1080
CCTV-2,http://219.159.194.252:8181/tsfile/live/0002_1.m3u8$订阅源-1920x1080
CCTV-2,http://119.125.134.176:9901/tsfile/live/0002_1.m3u8$订阅源-1920x1080
CCTV-2,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221225588/index.m3u8?$订阅源-IPv6-1920x1080
CCTV-2,http://[2409:8087:2001:20:2800:0:df6e:eb12]/ott.mobaibox.com/PLTV/3/224/3221227543/index.m3u8$订阅源-IPv6-1920x1080
CCTV-2,http://[2409:8087:74f0:22::4]:6410/270000001128/9900000502/index.m3u8?channel-id=newtv$订阅源-IPv6-1920x1080
CCTV-2,http://[2409:8087:3c02:0021:0000:0001:0000:100a]:6410/shandong_cabletv.live.zte.com////CHANNEL00000317/index.m3u8?IASHttpSessionId=$订阅源-IPv6-1920x1080
CCTV-2,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/2/224/3221225588/2.m3u8$订阅源-IPv6-1920x1080
CCTV-3,http://116.1.184.67:8181/tsfile/live/0003_1.m3u8$订阅源-1920x1080
CCTV-3,http://219.159.194.213:8181/tsfile/live/0003_1.m3u8$订阅源-1920x1080
CCTV-3,http://223.166.234.149:7777/tsfile/live/0003_1.m3u8$订阅源-1920x1080
CCTV-3,http://219.159.194.252:8181/tsfile/live/0003_1.m3u8$订阅源-1920x1080
CCTV-3,http://119.125.134.176:9901/tsfile/live/0003_1.m3u8$订阅源-1920x1080
CCTV-3,http://[2409:8087:74f0:22::4]:6410/270000001128/9900000003/index.m3u8?channel-id=newtv$订阅源-IPv6-1920x1080
CCTV-3,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226021/index.m3u8$订阅源-IPv6-1920x1080
CCTV-3,http://[2409:8087:2001:20:2800:0:df6e:eb20]/ott.mobaibox.com/PLTV/4/224/3221228499/index.m3u8$订阅源-IPv6-1920x1080
CCTV-3,http://[2409:8087:74d6:22::7]:6410/270000001128/9900000003/index.m3u8?$订阅源-IPv6-1920x1080
CCTV-3,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010212/1.m3u8$订阅源-IPv6-1920x1080
CCTV-4,http://116.1.184.67:8181/tsfile/live/0004_1.m3u8$订阅源-1920x1080
CCTV-4,http://219.159.194.213:8181/tsfile/live/0004_1.m3u8$订阅源-1920x1080
CCTV-4,http://223.166.234.149:7777/tsfile/live/0004_1.m3u8$订阅源-1920x1080
CCTV-4,http://219.159.194.252:8181/tsfile/live/0004_1.m3u8$订阅源-1920x1080
CCTV-4,http://119.125.134.176:9901/tsfile/live/0004_1.m3u8$订阅源-1920x1080
CCTV-4,http://[2409:8087:5e08:24::17]:6610/000000001000/1000000005000265004/1.m3u8?channel-id=ystenlive&Contentid=1000000005000265004&livemode=1&stbId=3$订阅源-IPv6-1920x1080
CCTV-4,http://[2409:8087:74d6:22::7]:6410/270000001128/9900000503/index.m3u8$订阅源-IPv6-1920x1080
CCTV-4,http://[2409:8087:5e08:24::11]:6610/000000001000/5000000011000031102/1.m3u8?channel-id=bestzb&Contentid=5000000011000031102&livemode=1&stbId=3$订阅源-IPv6-1920x1080
CCTV-4,http://[2409:8087:5e01:34::21]:6610/ZTE_CMS/00000001000000060000000000000485/index.m3u8?IAS$订阅源-IPv6-1920x1080
CCTV-4,http://[2409:8087:3c02:0021:0000:0001:0000:100a]:6410/shandong_cabletv.live.zte.com////CHANNEL00000350/index.m3u8?IASHttpSessionId=$订阅源-IPv6-1920x1080
CCTV-5,http://219.159.91.10:9901/tsfile/live/0005_1.m3u8$订阅源-1920x1080
CCTV-5,http://219.159.194.213:8181/tsfile/live/0005_1.m3u8$订阅源-1920x1080
CCTV-5,http://223.166.234.149:7777/tsfile/live/0005_1.m3u8$订阅源-1920x1080
CCTV-5,http://219.159.194.252:8181/tsfile/live/0005_1.m3u8$订阅源-1920x1080
CCTV-5,http://119.125.134.176:9901/tsfile/live/0005_1.m3u8$订阅源-1920x1080
CCTV-5,http://[2409:8087:74f0:22::4]:6410/270000001128/9900000005/index.m3u8?$订阅源-IPv6-1920x1080
CCTV-5,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226019/index.m3u8$订阅源-IPv6-1920x1080
CCTV-5,http://[2409:8087:5e01:34::22]:6610/ZTE_CMS/00000001000000060000000000000461/index.m3u8?IAS$订阅源-IPv6-1920x1080
CCTV-5,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010145/1.m3u8?$订阅源-IPv6-1920x1080
CCTV-5,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221226019/index.m3u8$订阅源-IPv6-1920x1080
CCTV-5+,http://116.1.184.67:8181/tsfile/live/0016_1.m3u8$订阅源-1920x1080
CCTV-5+,http://219.159.194.213:8181/tsfile/live/0016_1.m3u8$订阅源-1920x1080
